City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Nam Som,TH,2021-12-23 17:36:20,17.7704,102.1895,71.1,65,57,1.52,broken clouds
60,Voyvozh,RU,2021-12-23 17:36:21,62.892,54.9635,-16.78,97,84,6.76,broken clouds
61,Kirovskiy,RU,2021-12-23 17:36:21,45.0917,133.5136,-16.62,96,82,2.8,broken clouds
62,Bandarbeyla,SO,2021-12-23 17:36:21,9.4942,50.8122,76.46,67,9,12.93,clear sky
63,Tura,IN,2021-12-23 17:36:22,25.5198,90.2201,57.42,66,0,3.42,clear sky
64,Carnarvon,AU,2021-12-23 17:36:22,-24.8667,113.6333,75.27,78,0,20.71,light rain
65,Hithadhoo,MV,2021-12-23 17:33:29,-0.6,73.0833,82.11,72,87,3.8,overcast clouds
66,Mandalgovi,MN,2021-12-23 17:36:23,45.7625,106.2708,-4.59,71,0,5.79,clear sky
67,Hamilton,US,2021-12-23 17:35:24,39.1834,-84.5333,47.71,46,1,3.0,clear sky
68,Surt,LY,2021-12-23 17:36:23,31.2089,16.5887,60.76,45,69,2.8,broken clouds
69,Chokurdakh,RU,2021-12-23 17:36:24,70.6333,147.9167,-25.6,100,100,4.38,overcast clouds
70,Bluff,NZ,2021-12-23 17:36:24,-46.6,168.3333,50.81,75,92,13.6,overcast clouds
71,Svetlaya,RU,2021-12-23 17:29:16,46.5389,138.3297,-3.24,78,0,9.91,clear sky
72,Laguna,US,2021-12-23 17:29:59,38.421,-121.4238,55.22,96,90,5.01,light rain
73,Sinjar,IQ,2021-12-23 17:36:25,36.3209,41.8754,42.4,84,98,1.97,overcast clouds
74,Puerto Ayora,EC,2021-12-23 17:26:31,-0.7393,-90.3518,76.96,83,98,7.74,overcast clouds
75,San Policarpo,PH,2021-12-23 17:36:25,12.1791,125.5072,80.55,75,95,8.61,overcast clouds
76,Yellowknife,CA,2021-12-23 17:32:20,62.456,-114.3525,-13.59,86,90,8.05,light snow
77,Yarada,IN,2021-12-23 17:36:26,17.65,83.2667,70.12,94,0,2.3,mist
78,Mahebourg,MU,2021-12-23 17:34:33,-20.4081,57.7,80.89,78,75,3.44,broken clouds
79,Melur,IN,2021-12-23 17:36:26,10.05,78.3333,73.22,74,38,6.22,scattered clouds
80,Mar Del Plata,AR,2021-12-23 17:33:25,-38.0023,-57.5575,73.42,86,20,18.01,few clouds
81,Brainerd,US,2021-12-23 17:33:57,46.358,-94.2008,26.55,58,1,5.75,clear sky
82,Nanortalik,GL,2021-12-23 17:34:39,60.1432,-45.2371,30.74,55,91,9.37,overcast clouds
83,Korla,CN,2021-12-23 17:36:27,41.7597,86.1469,27.12,59,90,4.43,overcast clouds
84,Phan Thiet,VN,2021-12-23 17:36:27,10.9333,108.1,72.9,90,99,5.3,overcast clouds
85,Pevek,RU,2021-12-23 17:34:38,69.7008,170.3133,-18.87,98,100,3.06,overcast clouds
86,Aswan,EG,2021-12-23 17:36:27,24.0934,32.907,65.5,32,0,9.22,clear sky
87,Titel,RS,2021-12-23 17:36:28,45.2061,20.2944,36.0,61,100,8.01,overcast clouds
88,Ilo,PE,2021-12-23 17:36:28,-17.6394,-71.3375,74.26,73,0,9.22,clear sky
89,Andradina,BR,2021-12-23 17:37:29,-20.8961,-51.3794,96.15,31,34,11.48,scattered clouds
90,Chumikan,RU,2021-12-23 17:37:29,54.7183,135.315,-24.2,83,61,10.4,broken clouds
91,Bredasdorp,ZA,2021-12-23 17:32:20,-34.5322,20.0403,65.52,59,97,13.8,overcast clouds
92,Ojuelos De Jalisco,MX,2021-12-23 17:37:29,21.8667,-101.5833,67.77,10,2,2.71,clear sky
93,Souillac,MU,2021-12-23 17:37:30,-20.5167,57.5167,80.98,78,75,3.44,broken clouds
94,Thinadhoo,MV,2021-12-23 17:28:43,0.5333,72.9333,81.7,73,74,4.7,broken clouds
95,Usinsk,RU,2021-12-23 17:37:30,65.9939,57.5281,-7.44,92,86,16.53,overcast clouds
96,Bambous Virieux,MU,2021-12-23 17:37:31,-20.3428,57.7575,80.85,78,75,3.44,broken clouds
97,Butaritari,KI,2021-12-23 17:37:31,3.0707,172.7902,80.87,79,81,9.08,broken clouds
98,Zhezkazgan,KZ,2021-12-23 17:37:31,47.8043,67.7144,23.88,84,87,11.27,overcast clouds
99,Jumla,NP,2021-12-23 17:29:31,29.2747,82.1838,33.98,85,12,3.2,few clouds
100,Kapaa,US,2021-12-23 17:37:32,22.0752,-159.319,73.72,72,20,3.0,few clouds
101,Talnakh,RU,2021-12-23 17:37:32,69.4865,88.3972,9.21,59,95,18.9,overcast clouds
102,Hilsa,IN,2021-12-23 17:37:32,25.3167,85.2833,51.73,38,0,1.14,clear sky
103,Airai,TL,2021-12-23 17:37:33,-8.9266,125.4092,60.28,89,99,0.98,moderate rain
104,Lavrentiya,RU,2021-12-23 17:37:33,65.5833,-171.0,-5.57,93,95,4.52,overcast clouds
105,Avarua,CK,2021-12-23 17:37:33,-21.2078,-159.775,78.85,89,40,12.66,scattered clouds
106,Ranfurly,NZ,2021-12-23 17:37:34,-45.1333,170.1,47.64,96,99,2.01,overcast clouds
107,Upernavik,GL,2021-12-23 17:32:21,72.7868,-56.1549,25.05,81,99,2.66,overcast clouds
108,Semnan,IR,2021-12-23 17:37:34,35.5729,53.3971,40.3,47,0,2.55,clear sky
109,Broome,US,2021-12-23 17:37:35,42.2506,-75.833,30.7,72,90,1.99,light snow
110,Palmer,US,2021-12-23 17:30:49,42.1584,-72.3287,32.61,26,75,3.0,broken clouds
111,Atar,MR,2021-12-23 17:37:35,20.5169,-13.0499,80.38,16,0,9.82,clear sky
112,Waslala,NI,2021-12-23 17:37:35,13.2333,-85.3833,79.14,51,30,5.53,scattered clouds
113,Scottsboro,US,2021-12-23 17:37:36,34.6723,-86.0341,57.09,38,4,4.97,clear sky
114,Nouadhibou,MR,2021-12-23 17:37:36,20.931,-17.0347,69.6,60,0,9.84,clear sky
115,Anapolis,BR,2021-12-23 17:37:36,-16.3267,-48.9528,82.0,61,75,4.61,broken clouds
116,Ndele,CF,2021-12-23 17:37:37,8.4109,20.6473,83.66,22,18,6.04,few clouds
117,Meulaboh,ID,2021-12-23 17:37:37,4.1363,96.1285,76.39,85,15,1.72,few clouds
